tawny, yellowish brown, 0
uxorious, loving wife too much, 1
acerbity, caustic, 1
opprobrium, criticism, 0
Milton-sere, dry, 0
parquet, patterned floor, 1
exculpate, prove guiltless, 1
mucilage, gummy substance, 0
parlay, type of bet, 1
preponderance, abundance, 1
lithograph, silk screen, 0
pepsin, digestive enzyme, 0
chamois, mountain goat, 0
bosun, deck hand, 0
sparrow, small finchlike bird, 1
Conrad-unpropitious, unfavorable, 0
dipsomania, craving for alcohol, 0
malinger, feign illness, 0
jasper, red stone, 1
platitude, banal, 1
pumpernickel, dark bread, 0
Greene-novitiate, novice esp in religious order, 0
Ford-hagiology, literature on legends and saints, 0
pellucid, transparent, 1
paregoric, old diarrhea medicine, 0
Melville-vintner, wine merchant, 1
jalopy, car, 1
wary, watchful, 1
tarragon, plant used as culinary herb, 0
salubrious, healthy, 0
flange, perp. edge, 0
Milton-contemn, treat with contempt, 0
grovel, beg, 0
Crane-prattle, talk at length foolishly, 1
Milton-emprise, adventurous enterprise, 1
perihelion, closest to sun, 1
monomania, obsess over one thing, 0
Milton-distends, swell, 1
Milton-cogitation, contemplation, 1
manacles, shackles, 0
inure, make accustomed to, 1
rickets, vitamin D deficiency disease, 0
tremolo, vibrations in sound, 0
bandy, exchange, 0
protract, extend, 1
impugn, oppose as false, 0
ragweed, causes hay fever, 0
brindled, gray with spots, 0
porthole, ships round window, 1
gustatory, stomach, 0
warder, warden, 0
vitiate, corrupt, 1
Milton-opprobrious, harsh criticism, 0
forbear, confine, 0
masticate, chew, 0
preternatural, supernatural, 1
retinue, group of followers, 0
courtesan, prostitute, 1
missive, letter, 1
prattle, prate, 1
Milton-beguiled, charm, 1
discursive, rambling, 0
Milton-ingrate, ungrateful person, 1
Greene-cicatrice, scar, 1
diurnal, during the day/ daily, 1
squaw, American Indian woman, 0
jigsaw, saw, 1
Milton-serried, rows of people standing close together, 0
abeyance, suspension, 1
sartorial, fashion, 1
hertz, 1 cycle per second, 1
byline, line of author info, 1
odious, hateful, 0
pagoda, temple, 1
placard, sign, 0
tare, weed, 0
Conrad-bemused, puzzle, 0
rayon, textile fabric, 1
kith and kin, family, 1
hoipolloi, common people, 1
plaudit, praise, 0
sprat, small herring like fish, 0
elucidate, clarify, 1
Milton-pendant, piece of jewelry that hangs around the neck, 1
clement, fair, 1
periwinkle, windmill flower, 0
plexus, complex, 0
regatta, boat race, 1
ardor, lust, 0
sacristy, room housing priestly garb, 1
pinion, outer part of wing, 1
misogyny, hatred of women, 1
renal, kidney, 1
regent, in place of a king in absentia, 0
newel, central pillar of winding staircase, 0
wicket, teller window, 1
presidium, executive committee of communists, 0
Milton-inviolable, not to be violated, 1
papilla, taste buds, 0
thrombosis, clotting of blood, 1
heifer, young cow, 1
parsimony, impecunious, 0
Milton-limitary, relating to restriction, 0
piccolo, flute an octave higher, 1
suet, hard white fat, 1
cull, select, 1
commingle, mingle with, 0
scud, hurry, 0
obloquy, public criticism, 0
callow, immature, 0
Milton-frith, archaic spelling of firth-narrow inlet of the sea, 0
chortle, to chuckle, 1
ribofla, vitamin B, 0
scarify, make cuts, 1
Melville-castanets, wood clicked together to spanish dancing, 1
wampum, shell used as money, 0
quinine, salt like used for malaria, 0
Milton-vicegerent, person exercising power on behalf of sovereign, 1
Ford-palpitating, beat rapidly, 0
scour, de-grease, 1
obsolescent, becoming obsolete, 1
Ford-beaux yeux, beautiful eyes, 1
ebulient, bubbling, 1
gesticulate, gesture, 1
Melville-surtout, frock coat, 0
delude, mislead, 1
pugilism, boxing, 0
distend, expand, 1
Milton-uxorious, excessive fondness of wife, 1
bonmot, witty talk, 0
cairn,stacked stones marking grave, 0
damask, fabric of patterns, 1
Melville-obstreperous, unruly, 1
trite, banal, 1
caprice, sudden whim, 0
sortie, counter attack, 1
conciliate, appease, 0
Milton-buxom, plump esp with large breasts, 1
demure, coy, 0
magnolia, southern flower, 1
davenport, large couch, 0
Melville-scrivener, scribe/clerk, 0
jaunty, spritely, 0
Talmud, jewish law, 0
nefarious, wicked, 1
cenotaph, tomb/monument for one buried elsewhere, 1
marigold, goldish flower, 1
doggerel, simple verse, 1
scull, oar, 0
nosegay, bouquet, 1
Conrad-plaintive, sorrowful, 0
presage, omen, 0
derelict, abandoned, 1
Greene-bicuspid, having two points (tooth), 1
limpid, clear, 0
borax, cheap furniture, 0
gingham, cross cotton pattern, 1
Milton-exorbitant, unreasonably high, 0
untoward, bad omen, 1
simony, money for religion, 1
sinuous, slithering, 1
plenipotentiary, diplomat with full power, 0
jib, sail, 0
arbutus, bush, 0
pippin, little headed penguin, 0
Milton-vitiate, spoil or impair the quality of, 0
silica, glassy mineral, 1
sloop, one-masted sail, 1
peruse, read, 1
paragon, supreme example, 1
Milton-synod, assembly of clergy, 0
rhubarb, turnip like vegetable, 0
indolent, lazy, 1
flywheel, wheel in mechanics, 1
marquess, above earl, 0
ballast, balance, 1
Hawthorne-obstreperous, unruly, 1
bisect, divide in middle, 1
Melville-doddered, tremble/totter bc of old age, 0
alluvium, soil deposit, 0
myrmidon, follower or Achilles group, 1
mutton, sheep meat, 1
aquiline, eagle-like, 1
Milton-purlieu, area near or surrounding a place OR a place where one may range, 0
vestibule, front of house, 0
maladroit, not adroit, 1
quixotic, impractically idealistic, 1
marquee, signage, 0
marchioness, spouse of marquess, 0
abet, aid, 0
bumptious, self-assertive, 1
parallax, off centered, 1
bemuse, cause to think, 0
tableau, scene, 1
furlough, leave of absence, 1
russet, red brown, 0
